"","gdd_cum","cultivar","county","srad","treatment","tmax","diff_rad","q","tmean"
"gdd_cum",0.315274737907981,0.0873215425451671,0.0465787292031367,0.0118791852937466,0.0100972293985742,0.00660050525908199,0.00616546622851948,0.00758844546180268,0.0072842187960651
"cultivar",0.0873215425451671,0.197673890645335,0.0290763294904103,0.0102484874575918,0.0136983711122035,0.00524340744644697,0.0048671496979722,0.00384670737691705,0.00146025029171237
"county",0.0465787292031367,0.0290763294904103,0.0482818251765558,0.00507819459315398,0.0014989906180676,0.0036417114411368,0.00227972569136131,0.0011947253884208,0.00148448683646956
"srad",0.0118791852937466,0.0102484874575918,0.00507819459315398,0.00848295856930996,0.00108334252602377,0.00129890519838825,0.00132010266368433,0.000832809864170875,0.000287264221352365
"treatment",0.0100972293985742,0.0136983711122035,0.0014989906180676,0.00108334252602377,0.0118486342838573,0.000763484729468591,0.00189541965174832,0.000759632366027923,0.00124057830486172
"tmax",0.00660050525908199,0.00524340744644697,0.0036417114411368,0.00129890519838825,0.000763484729468591,0.00706652898107417,0.000806658308621958,0.000536631329924034,0.000112198942522554
"diff_rad",0.00616546622851948,0.0048671496979722,0.00227972569136131,0.00132010266368433,0.00189541965174832,0.000806658308621958,0.00629079765173787,0.00101399347345772,0.000656901860243125
"q",0.00758844546180268,0.00384670737691705,0.0011947253884208,0.000832809864170875,0.000759632366027923,0.000536631329924034,0.00101399347345772,0.00123387758278899,0.00124635292446257
"tmean",0.0072842187960651,0.00146025029171237,0.00148448683646956,0.000287264221352365,0.00124057830486172,0.000112198942522554,0.000656901860243125,0.00124635292446257,0.000807878000982393
